"id","about"
"202970","Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future, 21st Century Cold War, where technology and weapons have converged to create a new generation of warfare.
"
"356190","Go behind enemy lines to forge your army, conquer Fortresses and dominate Mordor from within. Experience how the award winning Nemesis System creates unique personal stories with every enemy and follower, and confront the full power of the Dark Lord Sauron and his Ringwraiths in this epic new story of Middle-earth. 
In Middle-earth™: Shadow of War™, nothing will be forgotten.
"
"1889040","You are alone.
You will build a creature, a partner, a wet warm heart, a collection of bones.
Collect bones & organs in hand-drawn museums, coffee shops, alleys, flower shops, libraries, markets, bakeries and more.
Solve physics-based puzzles & interact with unique, interesting creatures.
Find & spend hidden tokens to discover secrets.
 
"
"633230","The Naruto franchise is back with a brand new experience in NARUTO TO BORUTO: SHINOBI STRIKER! This new game lets gamers battle as a team of 4 to compete against other teams online! Graphically, SHINOBI STRIKER is also built from the ground up in a completely new graphic style. Lead your team and fight online to see who the best ninjas are!
"
"2193650","A first-person shooter with a hellish theme. 
The player will have to fight his way through crowds of enemies and exterminate the various devils of hell.
Advancing through the levels we meet new enemies and a variety of weapons. 
On each level, you have to fight with the boss to get a variety of adult scenes.
Features:
Gunplay with monsters
Lots of weapons to choose
Hot scenes to unlock
 
"
"70","Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.
"
"787480","The classic courtroom adventure series that has sold over 6.7 million copies worldwide is finally here. Become Phoenix Wright and experience the thrill of battle as you fight to save your innocent clients in a court of law. Play all 14 episodes, spanning the first three games, in one gorgeous collection. Solve the intriguing mysteries behind each case and witness the final truth for yourself!
"
"953490","CARRION
 is a reverse horror game in which you assume the role of an amorphous creature of unknown origin. Stalk and consume those that imprisoned you to spread fear and panic throughout the facility. Grow and evolve as you tear down this prison and acquire more and more devastating abilities on the path to retribution.
"
"349040","The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen in the NARUTO SHIPPUDEN: Ultimate Ninja STORM series!
Prepare for the most awaited STORM game ever created!
 
"
"638230","Explore the ancient, mysterious world of Journey as you soar above ruins and glide across sands to discover its secrets. Play alone or in the company of a fellow traveler and explore its vast world together. Featuring stunning visuals and a Grammy-nominated musical score, Journey delivers a breathtaking experience like no other.
"
"380","Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.
"
"280","Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.
"
"449800","An international hit anime ""Attack on Titan"" has come to Steam®!
Battle is joined between the man-eating Titans and Eren and his companions. Experience the illusion of being in the anime, and controlling the flow of the story.
The story from the anime, with a few original twists, is yours to experience!
* The images are from an in-development build and may differ from the final version.
"
"17440","Add horror and humor to your universe. Make grotesque beasts or cuddly critters, then watch them do the robot, zombie walk, break dance and more! Includes over 100 new items.
 
60 New parts
 
48 New paint options
 
24 New animations
 
"
"405310","Avengers Assemble! The best-selling LEGO® MARVEL videogame franchise returns with a new action-packed, Super Hero adventure. Join the LEGO® MARVEL's Avengers team and experience a videogame featuring characters and storylines from the critically-acclaimed films and more. Play as the most powerful Super Heroes in their quest to save the world.
"
"304430","Hunted and alone, a boy finds himself drawn into the center of a dark project.
Try Playdead’s award-winning indie adventure game. INSIDE is a dark, narrative-driven platformer combining intense action with challenging puzzles. It has been critically acclaimed for its moody art style, ambient soundtrack and unsettling atmosphere.
"
"1449200","Six years ago, the right half of a corpse was discovered. The left half was never found…until six years later, completely fresh with no signs of decay. Now, Special Agents Mizuki and Ryuki, along with their AI partners Aiba and Tama, are tasked to solve the bizarre Half Body serial killings while unveiling the mysterious plot known only as the Nirvana Initiative…
"
"3920","Sail the Caribbean, marauding all on the high seas or ally your ship and crew as a privateer in search of riches - the life you choose is up to you. Face dogged enemies, raid unsuspecting villages, woo fair maidens, avoid capture or dig for buried treasure. Discover what it takes to become one of the most famous pirates in history!
"
"50","Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.
"
"1508570","An simulation game about reuniting with your childhood friend,
and spending your summer vacation having her.
She doesn't talk much, but she's full of curiosity.
Let's spend a special summer with her in the countryside.
point
・ You can go to various places with her.
・ You can have various conversations with her.
・ You can enjoy the atmosphere of the Japanese countryside.
"
"130","Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.
"
"267530","Join Emmet and an unlikely group of resistance fighters in their heroic quest to thwart Lord Business’ evil plans—a mission that Emmet is hopelessly and hilariously unprepared for.  It’s a wild ride with a surprising mix of over 90 playable characters including Batman, Superman, Wonder Woman, the Green Ninja, Gandalf, Shakespeare, Cleopatra and more.  
"
"397740","Hylics is a recreational program with light JRPG elements.
Features:
-Advanced graphics.
-RPG battles.
-Overuse of random text generation.
- ~2+ hours of content.
"
