"id","about","label"
"202970","Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future, 21st Century Cold War, where technology and weapons have converged to create a new generation of warfare.
","action"
"356190","Go behind enemy lines to forge your army, conquer Fortresses and dominate Mordor from within. Experience how the award winning Nemesis System creates unique personal stories with every enemy and follower, and confront the full power of the Dark Lord Sauron and his Ringwraiths in this epic new story of Middle-earth. 
In Middle-earth™: Shadow of War™, nothing will be forgotten.
","action"
"2000950","Includes:
- Call of Duty®: Modern Warfare®
- In-game XRK Weapons Pack
- In-game Tactical Knife
Experience a visceral Campaign or assemble your team in the ultimate online playground with multiple Special Ops challenges and a mix of Multiplayer maps and modes.
","action"
"952060","Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed. To stop her, Umbrella unleashes their ultimate secret weapon; Nemesis!
Also includes Resident Evil Resistance, a new 1 vs 4 online multiplayer game set in the Resident Evil universe where four survivors face-off against a sinister Mastermind.
","action"
"633230","The Naruto franchise is back with a brand new experience in NARUTO TO BORUTO: SHINOBI STRIKER! This new game lets gamers battle as a team of 4 to compete against other teams online! Graphically, SHINOBI STRIKER is also built from the ground up in a completely new graphic style. Lead your team and fight online to see who the best ninjas are!
","action"
"307780","Who’s Next?  Experience the Next Generation of the #1 Fighting Franchise.
Mortal Kombat X combines unparalleled, cinematic presentation with all new gameplay. For the first time, players can choose from multiple variations of each character impacting both strategy and fighting style.
","action"
"240","THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACTION GAME 
Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology. Featuring state of the art graphics, all new sounds, and introducing physics, Counter-Strike: Source is a must-have for every action gamer.
","action"
"2193650","A first-person shooter with a hellish theme. 
The player will have to fight his way through crowds of enemies and exterminate the various devils of hell.
Advancing through the levels we meet new enemies and a variety of weapons. 
On each level, you have to fight with the boss to get a variety of adult scenes.
Features:
Gunplay with monsters
Lots of weapons to choose
Hot scenes to unlock
 
","action"
"70","Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.
","action"
"349040","The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen in the NARUTO SHIPPUDEN: Ultimate Ninja STORM series!
Prepare for the most awaited STORM game ever created!
 
","action"
"953490","CARRION
 is a reverse horror game in which you assume the role of an amorphous creature of unknown origin. Stalk and consume those that imprisoned you to spread fear and panic throughout the facility. Grow and evolve as you tear down this prison and acquire more and more devastating abilities on the path to retribution.
","action"
"380","Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.
","action"
"280","Winner of over 50 Game of the Year awards, Half-Life set new standards for action games when it was released in 1998. Half-Life: Source is a digitally remastered version of the critically acclaimed and best selling PC game, enhanced via Source technology to include physics simulation, enhanced effects, and more.
","action"
"17440","Add horror and humor to your universe. Make grotesque beasts or cuddly critters, then watch them do the robot, zombie walk, break dance and more! Includes over 100 new items.
 
60 New parts
 
48 New paint options
 
24 New animations
 
","action"
"10","Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.
","action"
"1148590","DOOM 64, originally released on the Nintendo 64 in 1997, is now available for the first time on PC. 
Fight against demons in your crusade to hunt down the Mother of Demons and stop Hell's invasion. As you battle through more than 30 action-packed levels, be on the lookout for enhanced weapons and secrets to help you put an end to the demonic threat.
","action"
"405310","Avengers Assemble! The best-selling LEGO® MARVEL videogame franchise returns with a new action-packed, Super Hero adventure. Join the LEGO® MARVEL's Avengers team and experience a videogame featuring characters and storylines from the critically-acclaimed films and more. Play as the most powerful Super Heroes in their quest to save the world.
","action"
"50","Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.
","action"
"130","Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.
","action"
"947600","Eroico is a colorful, lighthearted platformer with monster-girls and sexual content. Journey across the land, battling and escaping the grasp of monster-girl foes in your quest to defeat the demon lord!
Contains 3 stages with 15 monster girls, each with their own unique sex animation and CG.
Also contains a gallery, which allows you to easily view previously unlocked content.
","action"
"20","One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.
","action"
"267530","Join Emmet and an unlikely group of resistance fighters in their heroic quest to thwart Lord Business’ evil plans—a mission that Emmet is hopelessly and hilariously unprepared for.  It’s a wild ride with a surprising mix of over 90 playable characters including Batman, Superman, Wonder Woman, the Green Ninja, Gandalf, Shakespeare, Cleopatra and more.  
","action"
"20","One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.
","action"
"449800","An international hit anime ""Attack on Titan"" has come to Steam®!
Battle is joined between the man-eating Titans and Eren and his companions. Experience the illusion of being in the anime, and controlling the flow of the story.
The story from the anime, with a few original twists, is yours to experience!
* The images are from an in-development build and may differ from the final version.
","action"
"300","Day of Defeat offers intense online action gameplay set in Europe during WWII. Assume the role of infantry, sniper or machine-gunner classes, and more. DoD:S features enhanced graphics and sounds design to leverage the power of Source, Valve's new engine technology.
","action"
"423230","You were captured. Look what they’ve done to you… The jailer is the key, kill him and you’ll be free.
Fight your way free in this ultra-responsive, fast-paced sword fighting and dual-stick shooting game.
Boss design by Takashi Okazaki. Original soundtrack by Carpenter Brut, Danger, The Toxic Avenger, Lorn, Scattle, Waveshaper and Kn1ght!
","action"
"1730650","CRAFT ULTIMATE WEAPON
Unleash your creativity by crafting crazy things
PHYSICS-BASED MULTIPLAYER
Everything in the game has a physical simulation
THE LARGEST MAP IN VR
Explore an abandoned town and its dungeons with your friends or alone
GAME MODES:
Survival mode
Horde Mode
Story Mode
PVP
 
","action"
"1730650","CRAFT ULTIMATE WEAPON
Unleash your creativity by crafting crazy things
PHYSICS-BASED MULTIPLAYER
Everything in the game has a physical simulation
THE LARGEST MAP IN VR
Explore an abandoned town and its dungeons with your friends or alone
GAME MODES:
Survival mode
Horde Mode
Story Mode
PVP
 
","action"
