"id","about"
"1150690","Explore a strange world full of colorful friends and foes. Navigate through the vibrant and the mundane in order to uncover a forgotten past. When the time comes, the path you’ve chosen will determine your fate... and perhaps the fate of others as well.
"
"356190","Go behind enemy lines to forge your army, conquer Fortresses and dominate Mordor from within. Experience how the award winning Nemesis System creates unique personal stories with every enemy and follower, and confront the full power of the Dark Lord Sauron and his Ringwraiths in this epic new story of Middle-earth. 
In Middle-earth™: Shadow of War™, nothing will be forgotten.
"
"633230","The Naruto franchise is back with a brand new experience in NARUTO TO BORUTO: SHINOBI STRIKER! This new game lets gamers battle as a team of 4 to compete against other teams online! Graphically, SHINOBI STRIKER is also built from the ground up in a completely new graphic style. Lead your team and fight online to see who the best ninjas are!
"
"1048370","Idle Skilling is the idle game with ALL the skills! Keep leveling up even while you're offline!
There are 21 different skills to level up, each one interacting with several others! You only start with access to 3 skills, but slowly unlock the rest as you progress in the fighting zones!
 
"
"449800","An international hit anime ""Attack on Titan"" has come to Steam®!
Battle is joined between the man-eating Titans and Eren and his companions. Experience the illusion of being in the anime, and controlling the flow of the story.
The story from the anime, with a few original twists, is yours to experience!
* The images are from an in-development build and may differ from the final version.
"
"3920","Sail the Caribbean, marauding all on the high seas or ally your ship and crew as a privateer in search of riches - the life you choose is up to you. Face dogged enemies, raid unsuspecting villages, woo fair maidens, avoid capture or dig for buried treasure. Discover what it takes to become one of the most famous pirates in history!
"
"2411910","""miniBONG"" is a lightweight rogue-like game that focuses on dress-up DIY and idle gameplay, while incorporating elements of combat, character development, and strategy.. You can feel the charm of dressing up and fighting at the same time.
Features:
· Street sense trendy dressing style
· Automated lazy play
· Role development
· Multiple levels of difficulty, multiple dress-ups
"
"397740","Hylics is a recreational program with light JRPG elements.
Features:
-Advanced graphics.
-RPG battles.
-Overuse of random text generation.
- ~2+ hours of content.
"
"322630","Mind Zero is an action-packed dungeon-crawler RPG. Play as Kei, a high school student whose life turns upside down when he forms a contract with a “MIND,” a weapon/being with deadly powers. With the government and other forces trailing him and his friends, Kei will need to discover the secret behind “MIND.” Will these newfound powers help him or ultimately be his doom?
"
"1812410","Tiber Septim has swept through Tamriel, uniting its squabbling lands by force. Even the mighty Redguards of Hammerfell have come under Imperial control. Cyrus, the legendary Redguard mercenary, leads a rebellion against the Empire. Along with a faction known as the Restless League, Cyrus defeats the occupying forces at Stros M’kai and forces Tiber Septim to make peace with the Redguards.
"
"1837510","KAWAII SLIME ARENA is an action first person shooter with RPG elements and lots of upgrades. 
Help Yui defeat the slimes with powerful weapons! 
Choose between lots of upgrades to make her stronger and beat the arenas to unlock all weapons!
"
"2414810","Decide whether to give VT a happy or tragic ending. His destiny is in your hands.
Play as VT, a lonely TV-boy who seeks solitude until the sudden message from a strange bunny named IV. Discover the different endings of this cozy visual novel.
[Includes Premium Version]
Join to the YunSeven Games community
https://discord.com/invite/kTK2FyNgP6
 
"
"1192610","ANIME REDEMPTION
 is an adventurous shooting game in the Wild West theme. You are playing for Wild West Girl: brave lonely H.E.N.T.A.I. fighter who is ready to take on all of the bad dudes out there. Your target is to kill as many enemies as you have the balls to..
Features:
 authentic Wild West atmosphere
 variety of weapons to choose from
 realistic Wild West fighting mechanics
 
"
"1504020","You had a long day, you deserve to relax.
Meet the girls once more! Engage in exciting scenarios.
and promise not to tell anyone
Click, relax, level up, collect items.
All the fun stuff you already know and love
• 5 Girls to flirt with
• 22 Puzzles
• Strategize with ability builds
• Collect different items for each dialogue selection
• Enjoy the in-game gallery
• 101 Achievements
"
