"id","about"
"635260","CarX Drift Racing is all about realistic driving physics, detailed customization and tuning of car parameters, a number of cities and special racing track locations, an array of vinyls to design the look of your vehicle, open online rooms and competitions enhanced with new graphics.
"
"1048370","Idle Skilling is the idle game with ALL the skills! Keep leveling up even while you're offline!
There are 21 different skills to level up, each one interacting with several others! You only start with access to 3 skills, but slowly unlock the rest as you progress in the fighting zones!
 
"
"2411910","""miniBONG"" is a lightweight rogue-like game that focuses on dress-up DIY and idle gameplay, while incorporating elements of combat, character development, and strategy.. You can feel the charm of dressing up and fighting at the same time.
Features:
· Street sense trendy dressing style
· Automated lazy play
· Role development
· Multiple levels of difficulty, multiple dress-ups
"
"17440","Add horror and humor to your universe. Make grotesque beasts or cuddly critters, then watch them do the robot, zombie walk, break dance and more! Includes over 100 new items.
 
60 New parts
 
48 New paint options
 
24 New animations
 
"
"1730650","CRAFT ULTIMATE WEAPON
Unleash your creativity by crafting crazy things
PHYSICS-BASED MULTIPLAYER
Everything in the game has a physical simulation
THE LARGEST MAP IN VR
Explore an abandoned town and its dungeons with your friends or alone
GAME MODES:
Survival mode
Horde Mode
Story Mode
PVP
 
"
"2240000","This is an easy-to-use AI drawing app, as long as you enter a prompt, you can generate a image with one click!
When entering the prompt, be sure to describe the details as clearly as possible, and do not use words with unclear requirements such as ""beautiful"" and ""handsome"".
"
"525680","WARNING :THIS GAME IS VIRTUAL REALITY ONLY
Live the experience of being an omnipotent God!
In this sandbox game you can create your own world tile by tile and perform miracles.
Help autonomous humans to evolve from the stone age to modern age and beyond.
Build you own world tile by tile
Deal with heresy
 
"
"1508570","An simulation game about reuniting with your childhood friend,
and spending your summer vacation having her.
She doesn't talk much, but she's full of curiosity.
Let's spend a special summer with her in the countryside.
point
・ You can go to various places with her.
・ You can have various conversations with her.
・ You can enjoy the atmosphere of the Japanese countryside.
"
"780210","Freeways
 is a game where you draw freeway interchanges. You are the traffic engineer.
Draw
 roads like you're drawing a picture.
Design
 for efficiency or draw the spaghetti junction of your dreams.
Simulate
 traffic flow through your interchange. Most importantly, avoid traffic jams.
Connect
 a whole world together in a network of interchanges. Features 80 levels.
"
"527450","This game is about the hard life in the kitchen. In this unusual place many interests intertwine.
But the only war between humans and cockroaches is truly epic and destructive.
You can choose any of the sides and try your hand.
- Multiplayer up to 10 players
- Many different weapons for confrontation against cockroaches
"
"1285230","The ultimate top-down racing game is back! Ultimate Racing 2D 2 includes new cars, new tracks, car/track editor, time-trial mode, damage, multi-class racing and more.
New features:
Track editor
Car editor
Time-trial with leaderboards and ghost lap
Multi-class racing
Custom car colors
Lap records
Damage
Penalties
Medium and intermediate tyres
New tracks
New cars
And more
 
"
"1094780","Fisher Online - online wild fishing simulator. Forget about licenses and catch rates. Choose bait or lures and catch fish in Europe and Russia.
You can fish anywhere on open water at any time of the day using a float, spinning or bottom rod. Many species of fish, from small bleak to huge sturgeon, are waiting for you.
"
"1164850","The sequel to the unfinished Sinking Simulator, now with a lot more POWER!!!!
Witness your witty love of chaos and destruction sinking 2D ships and everything else on board!
With one of the most advanced and optimized soft body physics, enjoy the absolute madness of destroying massive soft body structures into oblivion, ones that even dwarfs the empire state building or the Eiffel Tower!
"
"345890","Do you want to taste Victory? Featuring real NASCAR drivers and authentic tracks, NASCAR '15 Victory Edition is a high intensity, fast paced racing experience guaranteed to keep you on the edge of your seat. INCLUDES OVER 80 PAINT SCHEMES, Quick Race, Career and Multiplayer modes.
"
"1658050","Really Weird Pool is all the fun of normal pool but with weird shaped tables.
Play with friends or strangers online or locally, or play against the computer.
"
"1999740","Every time you press the button you get 1 point.
Every time you press the button your odds to lose all your points increases by 1%.
Good luck.
"
"770490","How long will you survive in this open water diving experience as you go head to head with terrifying Great Whites as they threaten to tear you apart.
Death in the Water is intended to be difficult and challenging, most players will not survive past 3 kills
"
"1612960","Use your balloon-gun to spawn and pop balloons wherever you want! 
Attach balloons to your glider and fly through the rings to gain more time but be careful - every ring is part of a challenging flying Island.
Unlock new balloons and beat the highscore!
"
"1677490","What if the most famous romantic figures of Joseon dynasty were reborn as young people in the modern world?
This is a drama with multiple endings where Chunhyang’s destiny is changed by what the player choose. 
Torn between Lee Mongryong and Byun Hakdo, love and career, what choice will Chunhyang make at each moment?
Chunhyang’s destiny will be changed by your choice.
"
"1083650","Story
Leona is your cute and lewd maid who will do anything for her master. Join her as she teaches her master everything there is to know about love making.
Features
Fully animated artwork brings Leona to life.
Multiple scenes and positions to choose from as well as variations
Over 60 minutes of lewd talk
 
"
"1642890","Disc Golf Valley is a Disc Golf Game aiming to capture the thrill and excitement of playing real Disc Golf. 
Features
 14 spectacular courses.
 Thousands of unique discs to collect and throw.
 Challenge mode where you get to challenge each course and unlock new discs.
 Tournament mode.
 Three different practice modes.
 Pro shop where you can buy new discs.
 
"
"1215550","Game allows you to build many kinds of towers from a variety of bricks and experience their dynamic  destruction physics in a sandbox environment.
Different types of interaction.
wrecking ball
earthquake
wind
explosion
Steam workshop support
Build or improve on existing tower . You can then import them into the game, share them on the Steam workshop.
 
"
"2179380","The relaxing 2D particle sandbox, now available on Steam! Remember the retro ""falling sand"" games? 
Sand:box
 is an improved version of those.
Create things with 55+ different materials in an open environment, play around, draw different designs that use interactions between elements, and enjoy the result... or just blow everything up!
"
"743640","Achievmenet Clicker
 is a game in the genre timekiller-clicker, where your main objective is to get the most Achievements!
Start out by clicking on the Achievement and get the Achievements! 
The game has a store where you can buy Achievements!
Features:
-Good design.
-Amazing music.
-Achievements.
-Saving system
-5000 Achievements
"
"1116500","Want to find out if your passion is in the HVAC field?
Want to find out how to fix simple to complex problems with a air conditioner?
In this simulation put on the VR headset and find out how to fix a air conditioner without having the fear of frying your unit and having to pay a lot of money for a professional to come out and install a whole new unit.
 
"
"983840","Currently supported by HTC Vive and Oculus Rift. The game is also under heavy development and will be updated each month until we feel comfortable with its stage.
 
"
